player,position,team
Mikkel Damsgaard,LT.AT,Brentford
Antonio Raillo,ZG,Mallorca
Antonio Sanabria,AT,Torino
Anuar,LT.AT,Valladolid
Antoine Hainaut,ZG.AT,Parma
Milos Kerkez,ZG,Bournemouth
Modibo Sagnan,ZG,Montpellier
Danel Sinani,AT.LT,St. Pauli
Ethan Pinnock,ZG,Brentford
Ryan Christie,LT,Bournemouth
Ryan Yates,LT,Nott'ham Forest
Sergi,ZG,Leganés
Ezri Konsa,ZG,Aston Villa
Saúl Coco,ZG,Torino
Alessio Romagnoli,ZG,Lazio
Ibrahima Sissoko,LT,Bochum
Mikael Ellertsson,ZG.LT,Venezia
Nahuel Tenaglia,ZG,Alavés
Morten Frendrup,LT,Genoa
Murillo,ZG,Nott'ham Forest
Hicham Boudaoui,LT,Nice
Nathan Collins,ZG,Brentford
Nathan Tella,LT.AT,Leverkusen
Nicolò Savona,ZG,Juventus
Federico Baschirotto,ZG,Lecce
Rocco Reitz,LT,Gladbach
Rodrigo Bentancur,LT,Tottenham
Romain Perraud,ZG,Betis
Chris Führich,LT.AT,Stuttgart
Angeliño,ZG,Roma
Robert Andrich,LT.ZG,Leverkusen
César Tárrega,ZG,Valencia
Farid El Melali,AT,Angers
Faustino Anjorin,LT,Empoli
Giorgos Kyriakopoulos,ZG,Monza
Niklas Dorsch,LT,Heidenheim
Ola Aina,ZG,Nott'ham Forest
Giuliano Simeone,LT,Atlético Madrid
Granit Xhaka,LT,Leverkusen
Christian Günter,ZG,Freiburg
Andreas Pereira,LT,Fulham
Andrei Ratiu,ZG,Rayo Vallecano
Christoph Baumgartner,LT,RB Leipzig
Pablo Fornals,LT.AT,Betis
Andrea Colpani,AT.LT,Fiorentina
Gerrit Holtmann,ZG.AT,Bochum
Florian Tardieu,LT,Saint-Étienne
Fran Beltrán,LT,Celta Vigo
Finn Porath,ZG.LT,Holstein Kiel
Gianluca Busio,LT,Venezia
Gianluca Mancini,ZG,Roma
Gabriel Gudmundsson,ZG,Lille
Pavel Kadeřábek,ZG,Hoffenheim
Gabriele Zappa,ZG,Cagliari
Gautier Lloris,ZG,Le Havre
Clément Lenglet,ZG,Atlético Madrid
Pedro Porro,ZG,Tottenham
Florian Lejeune,ZG,Rayo Vallecano
Anass Zaroury,AT.LT,Lens
Andrea Cambiaso,ZG.AT,Juventus
Piero Hincapié,ZG,Leverkusen
Pierre Højbjerg,LT,Marseille
Pierre Lees-Melou,LT,Brest
Junior Adamu,AT,Freiburg
Bilal El Khannouss,LT.AT,Leicester City
José Luis García Vayá,LT,Valencia
Jordan Veretout,LT,Lyon
Abde Ezzalzouli,AT.LT,Betis
Aaron Wan-Bissaka,ZG,West Ham
Adam Armstrong,AT.LT,Southampton
Youssouf Fofana,LT,Milan
David López,ZG,Girona
Beñat Prados,LT,Athletic Club
Bertuğ Yıldırım,AT,Getafe
Jordan Zemura,ZG,Udinese
Yannick Gerhardt,LT.ZG,Wolfsburg
Benjamin Bouchouari,LT,Saint-Étienne
Berat Djimsiti,ZG,Atalanta
Adri Embarba,AT.LT,Rayo Vallecano
Dario Essugo,LT,Las Palmas
Darko Brašanac,LT,Leganés
Pervis Estupiñán,ZG,Brighton
Philipp Lienhart,ZG,Freiburg
Philipp Sander,LT,Gladbach
Amir Rrahmani,ZG,Napoli
Pietro Comuzzo,ZG,Fiorentina
Pedro Pereira,ZG,Monza
Ramy Bensebaini,ZG,Dortmund
Florent Hanin,ZG,Angers
Christian Eriksen,LT,Manchester Utd
Andreas Hanche-Olsen,ZG,Mainz 05
Patrizio Masini,LT,Genoa
Pablo Marín,LT,Real Sociedad
Gabriel Osho,ZG,Auxerre
Patrick Ciurria,LT.ZG,Monza
Pablo Barrios,LT,Atlético Madrid
Patrick Mainka,ZG,Heidenheim
Patrick Osterhage,LT,Freiburg
Florian Sotoca,AT.LT,Lens
Flynn Downes,LT,Southampton
Quentin Merlin,ZG,Marseille
Rabby Nzingoula,LT,Montpellier
Remo Freuler,LT,Bologna
Renato Tapia,LT.ZG,Leganés
Rani Khedira,LT,Union Berlin
Roberto Navarro,LT.AT,Mallorca
Rico Lewis,ZG.LT,Manchester City
Ridgeciano Haps,ZG,Venezia
Ondrej Duda,LT,Hellas Verona
Nnamdi Collins,ZG,Eint Frankfurt
Omar Alderete,ZG,Getafe
András Schäfer,LT,Union Berlin
Pablo Ibáñez,LT,Osasuna
Omar Mascarell,LT,Mallorca
Andy Diouf,LT,Lens
Nuno Mendes,ZG,Paris S-G
Guela Doué,ZG,Strasbourg
Cristhian Mosquera,ZG,Valencia
Cristian Cásseres Jr.,LT,Toulouse
Guillermo Maripán,ZG,Torino
Federico Gatti,ZG,Juventus
Felix Passlack,ZG.LT,Bochum
Alexsandro Ribeiro,ZG,Lille
Alieu Fadera,AT.ZG,Como
Nemanja Gudelj,LT.ZG,Sevilla
Chris Richards,ZG,Crystal Palace
Chrislain Matsima,ZG,Augsburg
Angelo Fulgini,LT.AT,Lens
Angelo Stiller,LT,Stuttgart
Anthony Caci,ZG,Mainz 05
Natan,ZG,Betis
Harry Maguire,ZG,Manchester Utd
Hassane Kamara,ZG,Udinese
Neco Williams,ZG,Nott'ham Forest
Myles Lewis-Skelly,ZG,Arsenal
Nico Elvedi,ZG,Gladbach
Nicolas Cozza,ZG.LT,Nantes
Miguel,AT,Leganés
Miguel Gutiérrez,ZG.LT,Girona
Ibrahima Konaté,ZG,Liverpool
Henrikh Mkhitaryan,LT,Inter
Moisés Caicedo,LT.ZG,Chelsea
Hugo Magnetti,LT,Brest
Dan Burn,ZG,Newcastle Utd
Sam Morsy,LT,Ipswich Town
Sebastiano Luperto,ZG,Cagliari
Robin Le Normand,ZG,Atlético Madrid
Exequiel Palacios,LT,Leverkusen
Saúl Ñíguez,LT,Sevilla
Alessandro Zanoli,AT.ZG,Genoa
Maximilian Mittelstädt,ZG,Stuttgart
Milan Badelj,LT,Genoa
Ilaix Moriba,LT,Celta Vigo
Mickael Nade,ZG,Saint-Étienne
Michael Amir Murillo,ZG,Marseille
Anton Stach,LT.ZG,Hoffenheim
Michel Ndary Adopo,LT,Cagliari
Catena,ZG,Osasuna
Eric Smith,ZG.LT,St. Pauli
Samuele Ricci,LT,Torino
Alessandro Buongiorno,ZG,Napoli
Sergi Cardona,ZG,Villarreal
Max Rosenfelder,ZG,Freiburg
Enzo Barrenechea,LT,Valencia
Elvis Rexhbeçaj,LT,Augsburg
Aleksandar Pavlovic,LT,Bayern Munich
Maxence Lacroix,ZG,Crystal Palace
Ismaël Doukouré,ZG.LT,Strasbourg
Casemiro,LT,Manchester Utd
Carlos Soler,LT.AT,West Ham
Armando Izzo,ZG,Monza
Iván Martín,LT,Girona
Matija Nastasić,ZG,Leganés
Mattia Viti,ZG,Empoli
Matty Cash,ZG,Aston Villa
Mattéo Guendouzi,LT,Lazio
Mario Gila,ZG,Lazio
Matheus Nunes,ZG.LT,Manchester City
Martín Payero,LT,Udinese
Emil Holm,ZG,Bologna
Edoardo Goldaniga,ZG,Como
Alessandro Bastoni,ZG,Inter
Alessandro Bianco,LT,Monza
Sávio,AT.LT,Manchester City
Alberto Grassi,LT,Empoli
James Tarkowski,ZG,Everton
Ashley Young,ZG,Everton
Arthur Chaves,ZG,Hoffenheim
Jacob Greaves,ZG,Ipswich Town
Jacob Ramsey,AT.LT,Aston Villa
Jaka Bijol,ZG,Udinese
Jack Harrison,AT,Everton
Marius Wolf,ZG,Augsburg
Mark McKenzie,ZG,Toulouse
Marcos André,AT,Valladolid
Elisha Owusu,LT,Auxerre
Ellyes Skhiri,LT,Eint Frankfurt
Sorba Thomas,AT.LT,Nantes
Taylor Harwood-Bellis,ZG,Southampton
Thomas Kristensen,ZG,Udinese
Marcel Sabitzer,LT,Dortmund
Manuel Ugarte Ribeiro,LT,Manchester Utd
Marc Casado,LT,Barcelona
Domagoj Bradarić,ZG,Hellas Verona
Tanner Tessmann,LT,Lyon
Ainsley Maitland-Niles,ZG,Lyon
Aitor Ruibal,ZG.AT,Betis
Jan Paul van Hecke,ZG,Brighton
Jakov Medić,ZG,Bochum
Manu Sánchez,ZG,Alavés
Domingos Duarte,ZG,Getafe
Dylan Batubinsika,ZG,Saint-Étienne
Djed Spence,ZG,Tottenham
Javier Muñoz,LT.ZG,Las Palmas
Jay Idzes,ZG,Venezia
Jeremie Boga,LT.AT,Nice
Luka Sučić,LT,Real Sociedad
Lukas Klostermann,ZG,RB Leipzig
Lukas Ullrich,ZG,Gladbach
Lutsharel Geertruida,ZG,RB Leipzig
Jeffrey Gouweleeuw,ZG,Augsburg
Jens Cajuste,LT,Ipswich Town
Luis Milla,LT,Getafe
Lucas Vázquez,ZG,Real Madrid
Lucien Agoume,LT,Sevilla
Luca Ranieri,ZG,Fiorentina
Lucas Beraldo,ZG,Paris S-G
Tosin Adarabioyo,ZG,Chelsea
Timothee Pembele,ZG,Le Havre
Adrian Bernabe,LT,Parma
Adrià Pedrosa,ZG,Sevilla
Valentin Atangana Edoa,LT,Reims
Calvin Bassey,ZG,Fulham
Carl Starfelt,ZG,Celta Vigo
Lesley Ugochukwu,LT,Southampton
Lautaro Valenti,ZG,Parma
Brendan Chardonnet,ZG,Brest
Bryan Zaragoza,AT.LT,Osasuna
Loïc Bade,ZG,Sevilla
Lewis Cook,LT.ZG,Bournemouth
Leif Davis,ZG,Ipswich Town
Leon Bailey,AT.LT,Aston Villa
Leonardo Spinazzola,ZG.AT,Napoli
Dimitris Giannoulis,ZG,Augsburg
Diogo Leite,ZG,Union Berlin
Deiver Machado,ZG.LT,Lens
Valentin Gendrey,ZG,Hoffenheim
Valentin Rosier,ZG,Leganés
Vanderson,ZG,Monaco
Wout Faes,ZG,Leicester City
Warren Zaïre-Emery,LT.ZG,Paris S-G
Wilfried Singo,ZG,Monaco
Azor Matusiwa,LT,Rennes
Danilho Doekhi,ZG,Union Berlin
Vitaliy Mykolenko,ZG,Everton
Vitaly Janelt,LT,Brentford
Yannik Engelhardt,LT.ZG,Como
Yassin Belkhdim,LT,Angers
Adam Masina,ZG,Torino
Adam Obert,ZG,Cagliari
Lassana Coulibaly,LT,Lecce
Koke,LT,Atlético Madrid
Johan Mojica,ZG,Mallorca
Keane Lewis-Potter,ZG.AT,Brentford
Kelvin Amian,ZG,Nantes
Kamaldeen Sulemana,AT.LT,Southampton
John McGinn,LT.AT,Aston Villa
Jon Aramburu,ZG,Real Sociedad
Jim Allevinah,AT,Angers
Boubacar Kamara,LT,Aston Villa
Kilian Fischer,ZG,Wolfsburg
Jorge Sáenz,ZG,Leganés
Joris Chotard,LT,Montpellier
Joseph Okumu,ZG,Reims
Josha Vagnoman,ZG.LT,Stuttgart
Jurriën Timber,ZG,Arsenal
Ben Johnson,ZG.AT,Ipswich Town
Bence Dárdai,LT,Wolfsburg
Kevin Kampl,LT,RB Leipzig
Ki-Jana Hoever,ZG,Auxerre
Yvan Neyou,LT,Leganés
Abakar Sylla,ZG,Strasbourg
David Raum,ZG,RB Leipzig
İlkay Gündoğan,LT,Manchester City
Abdoulaye Niakhate Ndiaye,ZG,Brest
Yukinari Sugawara,ZG.LT,Southampton
Karol Linetty,LT,Torino
Conor Coady,ZG,Leicester City
Francesco Zampano,ZG,Venezia
Phillipp Mwene,ZG,Mainz 05
Pierre Ekwah Elimby,LT,Saint-Étienne
Pierre Kalulu,ZG,Juventus
Óscar Rodríguez Arnaiz,LT.AT,Leganés
Yeray Álvarez,ZG,Athletic Club
Yerry Mina,ZG,Cagliari
Ylber Ramadani,LT,Lecce
Abdel Abqar,ZG,Alavés
Youssouf Sabaly,ZG,Betis
Yunus Musah,LT.AT,Milan
Yuri Berchiche,ZG,Athletic Club
Joël Veltman,ZG,Brighton
Juan Cruz Armada,ZG,Osasuna
Juan Miranda,ZG,Bologna
José Luis Gayà,ZG,Valencia
José María Giménez,ZG,Atlético Madrid
Billy Gilmour,LT,Napoli
Julian Weigl,LT,Gladbach
Beñat Turrientes,LT,Real Sociedad
José Campaña,LT,Las Palmas
Benjamin André,LT,Lille
Benjamin Pavard,ZG,Inter
Bernardo,ZG,Bochum
Kenny Tete,ZG,Fulham
Kevin Akpoguma,ZG,Hoffenheim
Kaishu Sano,LT,Mainz 05
Khalil Fayad,LT.AT,Montpellier
Kialonda,ZG,Lecce
Jonathan Gradit,ZG,Lens
Jordan Ferri,LT,Montpellier
Jordan James,LT,Rennes
Jordan Lefort,ZG,Angers
Jonas Föhrenbach,ZG,Heidenheim
Kirian Rodríguez,LT,Las Palmas
Kobbie Mainoo,LT,Manchester Utd
Benedikt Gimber,ZG,Heidenheim
Kieran Trippier,ZG,Newcastle Utd
Kristijan Jakić,LT,Augsburg
Kristoffer Ajer,ZG,Brentford
Kyle Walker-Peters,ZG,Southampton
Kiko Femenía,ZG,Villarreal
Kingsley Ehizibue,ZG,Udinese
Joachim Andersen,ZG,Fulham
Botond Balogh,ZG,Parma
Boubakary Soumaré,LT,Leicester City
Joe Scally,ZG,Gladbach
Konstantinos Koulierakis,ZG,Wolfsburg
Konstantinos Mavropanos,ZG,West Ham
Kévin Danois,LT,Auxerre
Jon Moncayola,LT,Osasuna
Jesper Karlström,LT,Udinese
Ayyoub Bouaddi,LT,Lille
Aïssa Mandi,ZG,Lille
Balthazar Pierret,LT,Lecce
Becir Omeragic,ZG,Montpellier
Lilian Raolisoa,ZG.AT,Angers
Leny Yoro,ZG,Manchester Utd
Leonardo Balerdi,ZG,Marseille
Lewis Dunk,ZG,Brighton
Jesper Lindstrøm,AT,Everton
Jesús Areso,ZG,Osasuna
Jhon Lucumí,ZG,Bologna
Lewis Hall,ZG,Newcastle Utd
Lewis Holtby,LT,Holstein Kiel
Liam Henderson,LT,Empoli
Carlens Arcus,ZG,Angers
Jean-Charles Castelletto,ZG.LT,Nantes
Jean-Clair Todibo,ZG,West Ham
Loïc Nego,ZG.AT,Le Havre
Luca Pellegrini,ZG,Lazio
Lucas Bergvall,LT,Tottenham
Lucas Digne,ZG,Aston Villa
Luis Pérez,ZG,Valladolid
Lucas Oliveira Rosa,ZG,Valladolid
Aurélien Tchouaméni,ZG.LT,Real Madrid
Aurélio Buta,ZG,Reims
Jefferson Lerma,LT.ZG,Crystal Palace
Caio Henrique Oliveira Silva,ZG,Monaco
Javi López,ZG,Real Sociedad
Axel Tuanzebe,ZG,Ipswich Town
Manuel Akanji,ZG,Manchester City
Léo Pétrot,ZG,Saint-Étienne
Magnus Knudsen,LT,Holstein Kiel
Malang Sarr,ZG,Lens
Janik Haberer,LT.ZG,Union Berlin
Jarrad Branthwaite,ZG,Everton
Javi Galán,ZG,Atlético Madrid
Jakub Kamiński,ZG.LT,Wolfsburg
Mamadou Sarr,ZG,Strasbourg
Mandela Keita,LT,Parma
Manu Morlanes,LT,Mallorca
Manuel Lazzari,ZG,Lazio
Marc-Oliver Kempf,ZG,Como
Arthur Theate,ZG,Eint Frankfurt
Malick Thiaw,ZG,Milan
Malo Gusto,ZG,Chelsea
James Garner,LT.ZG,Everton
Marco Friedl,ZG,Werder Bremen
Marcus Coco,ZG,Nantes
Marcus Pedersen,ZG,Torino
Arthur Vermeeren,LT,RB Leipzig
Mario Martín,LT,Valladolid
Jackson Irvine,LT,St. Pauli
Arthur Atta,LT.AT,Udinese
Marko Ivezić,ZG,Holstein Kiel
Marnon Busch,ZG.LT,Heidenheim
Marin Pongračić,ZG,Fiorentina
Marvin,ZG.AT,Las Palmas
Marvin Friedrich,ZG,Gladbach
Mathías Olivera,ZG,Napoli
Ardian Ismajli,ZG,Empoli
Massadio Haïdara,ZG,Brest
Iván Balliu,ZG,Rayo Vallecano
Iñigo Martínez,ZG,Barcelona
Iñigo Ruiz de Galarreta,LT,Athletic Club
Isak Hien,ZG,Atalanta
Aritz Elustondo,ZG,Real Sociedad
Ivan Ordets,ZG,Bochum
Issa Diop,ZG,Fulham
Castello Lukeba,ZG,RB Leipzig
Matteo Ruggeri,ZG,Atalanta
Mattia Bani,ZG,Genoa
Mattia Felici,LT.AT,Cagliari
Max Kilman,ZG,West Ham
Illia Zabarnyi,ZG,Bournemouth
Maximilian Wittek,ZG,Bochum
Archie Gray,ZG.LT,Tottenham
Igor Zubeldia,ZG,Real Sociedad
Carmona,ZG,Sevilla
Antonio Rüdiger,ZG,Real Madrid
Idrissa Gana Gueye,LT,Everton
Iglesias,ZG,Getafe
Ignace Van Der Brempt,ZG,Como
Mika Mármol,ZG,Las Palmas
Antonino Gallo,ZG,Lecce
Antonio Blanco,LT,Alavés
Hugo Sotelo,LT,Celta Vigo
Hans Hateboer,ZG,Rennes
Haris Belkebla,LT,Angers
Anthony Losilla,LT,Bochum
Antoine Makoumbou,LT,Cagliari
Antonee Robinson,ZG,Fulham
Morten Thorsby,LT.AT,Genoa
Moussa Diarra,ZG,Alavés
Moussa Niakhate,ZG,Lyon
Moïse Bombito,ZG,Nice
Nayef Aguerd,ZG,Real Sociedad
Máximo Perrone,LT,Como
Nahuel Molina,ZG,Atlético Madrid
Harry Winks,LT,Leicester City
Hauke Wahl,ZG,St. Pauli
Anthony Jung,ZG,Werder Bremen
Nemanja Matić,LT,Lyon
Ngal'Ayel Mukau,LT,Lille
Nicolò Rovella,LT,Lazio
Nhoa Sangui,ZG.LT,Reims
Nico Schlotterbeck,ZG,Dortmund
Nicolai Remberg,LT,Holstein Kiel
Nikola Moro,LT,Bologna
Nicolas Pallois,ZG,Nantes
Nicolas Seiwald,LT.ZG,RB Leipzig
Nicolás Domínguez,LT.AT,Nott'ham Forest
Guido Rodríguez,LT,West Ham
Niklas Stark,ZG,Werder Bremen
Obite N'Dicka,ZG,Roma
Noussair Mazraoui,ZG,Manchester Utd
Nuno Tavares,ZG,Lazio
Nélson Semedo,ZG,Wolves
André,LT,Wolves
Giuseppe Pezzella,ZG.AT,Empoli
André Gomes,LT,Lille
Oliver Skipp,LT,Leicester City
Omar El Hilali,ZG,Espanyol
Omar Traoré,ZG,Heidenheim
Christian Mawissa,ZG,Monaco
Christopher Trimmel,ZG.LT,Union Berlin
Christopher Wooh,ZG,Rennes
Gideon Mensah,ZG,Auxerre
Geoffrey Kondogbia,ZG.LT,Marseille
Oriol Romeu,LT,Girona
Andrea Carboni,ZG,Monza
Andrew Robertson,ZG,Liverpool
Pablo Maffeo,ZG,Mallorca
Gabriel Suazo,ZG,Toulouse
Pascal Groß,LT.ZG,Dortmund
Andoni Gorosabel,ZG,Athletic Club
Paweł Dawidowicz,ZG.LT,Hellas Verona
Pedro Chirivella,LT,Nantes
Pau Cubarsí,ZG,Barcelona
Pau Torres,ZG,Aston Villa
Clinton Mata,ZG,Lyon
Clément Akpa,ZG,Auxerre
Amos Pieper,ZG,Werder Bremen
Ander Guevara,LT,Alavés
Frederic Guilbert,ZG,Lecce
Pep Chavarría,ZG.AT,Rayo Vallecano
Philipp Treu,LT.ZG,St. Pauli
Frank Onyeka,LT,Augsburg
Fran Garcia,ZG,Real Madrid
Francesco Acerbi,ZG,Inter
Fikayo Tomori,ZG,Milan
Reda Belahyane,LT,Hellas Verona
Ramon Hendriks,ZG,Stuttgart
Amadou Haidara,LT,RB Leipzig
Amadou Koné,LT,Reims
Pol Lozano,LT,Espanyol
Raoul Bellanova,ZG,Atalanta
Raúl Asencio,ZG,Real Madrid
Copete,ZG,Mallorca
Alexander Prass,ZG,Hoffenheim
Daichi Kamada,LT,Crystal Palace
Etienne Youte Kinkoue,ZG,Le Havre
Facundo Medina,ZG,Lens
Sam Beukema,ZG,Bologna
Samu Costa,LT,Mallorca
Ryan Gravenberch,LT,Liverpool
Ryan Manning,ZG.LT,Southampton
Saba Goglichidze,ZG,Empoli
Daley Blind,ZG,Girona
Enzo Tchato,ZG,Montpellier
Eray Cömert,ZG.LT,Valladolid
Alex Král,LT,Espanyol
Rúben Dias,ZG,Manchester City
Cédric Kipré,ZG,Reims
Sander Berge,LT,Fulham
Santiago Bueno,ZG,Wolves
Santiago Mouriño,ZG,Alavés
Saša Lukić,LT,Fulham
Sergio Carreira,LT.ZG,Celta Vigo
Scott McKenna,ZG,Las Palmas
Sead Kolašinac,ZG,Atalanta
Sebastian Walukiewicz,ZG,Torino
Senne Lynen,LT,Werder Bremen
Sepp van den Berg,ZG,Brentford
Eren Dinkçi,LT.AT,Freiburg
Sergi Altimira,LT,Betis
Edson Álvarez,LT,West Ham
Soungoutou Magassa,LT,Monaco
Stanislav Lobotka,LT,Napoli
Stanko Jurić,LT,Valladolid
Stanley N'Soki,ZG,Hoffenheim
El Chadaille Bitshiabu,ZG,RB Leipzig
Stefano Sabelli,ZG,Genoa
Alejandro Jiménez,ZG.AT,Milan
Alberto Dossena,ZG,Como
Alberto Moreno,ZG,Como
Dani Ceballos,LT,Real Madrid
Edmond Tapsoba,ZG,Leverkusen
Dodô,ZG,Fiorentina
Alejandro Balde,ZG,Barcelona
Tim Oermann,ZG,Bochum
Djené,ZG.LT,Getafe
Djibril Sidibé,ZG,Toulouse
Aimen Moueffek,LT,Saint-Étienne
Albert Sambi Lokonga,LT,Sevilla
Timo Becker,ZG,Holstein Kiel
Domingos André Ribeiro Almeida,LT.AT,Valencia
Tomáš Suslov,LT.AT,Hellas Verona
Toti Gomes,ZG,Wolves
Tyler Adams,LT,Bournemouth
Timothy Castagne,ZG,Fulham
Tommaso Augello,ZG,Cagliari
Daniele Ghilardi,ZG,Hellas Verona
Tyrick Mitchell,ZG,Crystal Palace
Diego Rico,ZG,Getafe
Dimitri Foulquier,ZG,Valencia
Diogo Dalot,ZG,Manchester Utd
Valentin Mihaila,AT.LT,Parma
Valentino Lazaro,ZG.AT,Torino
Valentino Livramento,ZG,Newcastle Utd
Adrià Altimira,ZG.AT,Leganés
Aihen Muñoz,ZG,Real Sociedad
Victor Bernth Kristiansen,ZG,Leicester City
Dennis Appiah,ZG,Saint-Étienne
Derek Cornelius,ZG,Marseille
Destiny Udogie,ZG,Tottenham
Viti,ZG,Las Palmas
Vladimír Coufal,ZG,West Ham
Warren Bondo,LT,Monza
Wilfred Ndidi,LT,Leicester City
Danilo D'Ambrosio,ZG,Monza
Danny da Costa,ZG,Mainz 05
Dante,ZG,Nice
Dara O'Shea,ZG,Ipswich Town
David Nemeth,ZG,St. Pauli
Willian Pacho,ZG,Paris S-G
Adam Smith,ZG,Bournemouth
Adam Wharton,LT,Crystal Palace
Will Hughes,LT,Crystal Palace
Yehor Yarmoliuk,LT,Brentford
Óscar Valentín,LT,Rayo Vallecano
Youssef Maleh,LT,Empoli
Óscar de Marcos,ZG,Athletic Club
Álex Suárez,ZG,Las Palmas
Þórir Jóhann Helgason,LT,Lecce
Aarón Martín,ZG,Genoa
Zeki Çelik,ZG,Roma
